Nom de la commune;Code Postal;Département
BARBERY;14220;CALVADOS
BARBEVILLE;14400;CALVADOS
BARBEY;77130;SEINE ET MARNE
BARBEY SEROUX;88640;VOSGES
BARBEZIERES;16140;CHARENTE
BARBEZIEUX ST HILAIRE;16300;CHARENTE
BARBIERES;26300;DROME
BARBIREY SUR OUCHE;21410;COTE D'OR
BARBIZON;77630;SEINE ET MARNE
BARBONNE FAYEL;51120;MARNE
BARBONVAL;02160;AISNE
BARBONVILLE;54360;MEURTHE ET MOSELLE
BARBOTAN;32150;GERS
BARBUISE;10400;AUBE
BARBY;73230;SAVOIE
BARBY;08300;ARDENNES
BARC;27170;EURE
BARCELONNE;26120;DROME
BARCELONNE DU GERS;32720;GERS
BARCELONNETTE;04400;ALPES DE HAUTE PROVENCE
BARCHAIN;57830;MOSELLE
BARCHETTA;20290;CORSE
BARCILLONNETTE;05110;HAUTES ALPES
BARCUGNAN;32170;GERS
BARCUS;64130;PYRENEES ATLANTIQUES
BARCY;77910;SEINE ET MARNE
BARD;42600;LOIRE
BARD LE REGULIER;21430;COTE D'OR
BARD LES EPOISSES;21460;COTE D'OR
BARD LES PESMES;70140;HAUTE SAONE
BARDENAC;16210;CHARENTE
BARDIGUES;82340;TARN ET GARONNE
BARDOS;64520;PYRENEES ATLANTIQUES
BARDOU;24560;DORDOGNE
BARDOUVILLE;76480;SEINE MARITIME
BAREGES;65120;HAUTES PYRENEES
BAREILLES;65240;HAUTES PYRENEES
BAREMBACH;67130;BAS RHIN
BAREN;31440;HAUTE GARONNE
BARENTIN;76360;SEINE MARITIME
BARENTON;50720;MANCHE
BARENTON BUGNY;02000;AISNE
BARENTON CEL;02000;AISNE
BARENTON SUR SERRE;02270;AISNE
BARESIA SUR L AIN;39130;JURA
BARFLEUR;50760;MANCHE
BARGEME;83840;VAR
BARGEMON;83830;VAR
BARGES;43340;HAUTE LOIRE
BARGES;21910;COTE D'OR
BARGES;70500;HAUTE SAONE
BARGNY;60620;OISE
BARIE;33190;GIRONDE
BARINQUE;64160;PYRENEES ATLANTIQUES
BARISEY AU PLAIN;54170;MEURTHE ET MOSELLE
BARISEY LA COTE;54170;MEURTHE ET MOSELLE
BARISIS;02700;AISNE
BARIZEY;71640;SAONE ET LOIRE
BARJAC;48000;LOZERE
BARJAC;09190;ARIEGE
BARJAC;30430;GARD
BARJOLS;83670;VAR
BARJON;21580;COTE D'OR
BARJOUVILLE;28630;EURE ET LOIR
BARLES;04140;ALPES DE HAUTE PROVENCE
BARLEST;65100;HAUTES PYRENEES
BARLEUX;80200;SOMME
BARLIEU;18260;CHER
BARLIN;62620;PAS DE CALAIS
BARLY;80600;SOMME
BARLY;62810;PAS DE CALAIS
BARMAINVILLE;28310;EURE ET LOIR
BARNAS;07330;ARDECHE
BARNAVE;26310;DROME
BARNAY;71540;SAONE ET LOIRE
BARNEVILLE CARTERET;50270;MANCHE
BARNEVILLE LA BERTRAN;14600;CALVADOS
BARNEVILLE SUR SEINE;27310;EURE
BAROMESNIL;76260;SEINE MARITIME
BARON;30700;GARD
BARON;33750;GIRONDE
BARON;71120;SAONE ET LOIRE
BARON;60300;OISE
BARON SUR ODON;14210;CALVADOS
BARONVILLE;57340;MOSELLE
BAROU EN AUGE;14620;CALVADOS
BAROVILLE;10200;AUBE
BARQUET;27170;EURE
BARR;67140;BAS RHIN
BARRAIS BUSSOLLES;03120;ALLIER
BARRAN;32350;GERS
BARRANCOUEU;65240;HAUTES PYRENEES
BARRAS;04380;ALPES DE HAUTE PROVENCE
BARRAUTE CAMU;64390;PYRENEES ATLANTIQUES
BARRAUX;38530;ISERE
BARRE;81320;TARN
BARRE DES CEVENNES;48400;LOZERE
BARREME;04330;ALPES DE HAUTE PROVENCE
BARRET;16300;CHARENTE
BARRET DE LIOURE;26570;DROME
BARRET LE BAS;05300;HAUTES ALPES
BARRETAINE;39800;JURA
BARRETTALI;20228;CORSE
BARRIAC LES BOSQUETS;15700;CANTAL
BARRICOURT;08240;ARDENNES
BARRO;16700;CHARENTE
BARROT;69440;RHONE
BARROU;37350;INDRE ET LOIRE
BARRY;65380;HAUTES PYRENEES
BARRY D ISLEMADE;82290;TARN ET GARONNE
BARS;32300;GERS
BARS;24210;DORDOGNE
BARSAC;26150;DROME
BARSAC;33720;GIRONDE
BARST;57450;MOSELLE
BART;25420;DOUBS
BARTENHEIM;68870;HAUT RHIN
BARTENHEIM LA CHAUSSEE;68870;HAUT RHIN
BARTHE;65230;HAUTES PYRENEES
BARTHERANS;25440;DOUBS
BARTRES;65100;HAUTES PYRENEES
BARVILLE;88300;VOSGES
BARVILLE;61170;ORNE
BARVILLE;27230;EURE
BARVILLE EN GATINAIS;45340;LOIRET
BARZAN;17120;CHARENTE MARITIME
BARZUN;64530;PYRENEES ATLANTIQUES
BARZY EN THIERACHE;02170;AISNE
BARZY SUR MARNE;02850;AISNE
BAS DE BONCE;38290;ISERE
BAS EN BASSET;43210;HAUTE LOIRE
BAS ET LEZAT;63310;PUY DE DOME
BAS LIEU;59440;NORD
BAS MAUCO;40500;LANDES
BASCONS;40090;LANDES
BASCOUS;32190;GERS
BASILLON VAUZE;64350;PYRENEES ATLANTIQUES
BASLIEUX;54620;MEURTHE ET MOSELLE
BASLIEUX LES FISMES;51170;MARNE
BASLIEUX SOUS CHATILLON;51700;MARNE
BASLY;14610;CALVADOS
BASSAC;16120;CHARENTE
BASSAN;34290;HERAULT
BASSANNE;33190;GIRONDE
BASSE GOULAINE;44115;LOIRE ATLANTIQUE
BASSE HAM;57110;MOSELLE
BASSE INDRE;44610;LOIRE ATLANTIQUE
BASSE POINTE;97218;MARTINIQUE
BASSE RENTGEN;57570;MOSELLE
BASSE SUR LE RUPT;88120;VOSGES
BASSE TERRE;97410;REUNION
BASSE TERRE;97100;GUADELOUPE
BASSE VALLEE;97442;REUNION
BASSEMBERG;67220;BAS RHIN
BASSENEVILLE;14670;CALVADOS
BASSENS;73000;SAVOIE
BASSENS;33530;GIRONDE
BASSERCLES;40700;LANDES
BASSES;86200;VIENNE
BASSEUX;62123;PAS DE CALAIS
BASSEVELLE;77750;SEINE ET MARNE
BASSIGNAC;15240;CANTAL
BASSIGNAC LE BAS;19430;CORREZE
BASSIGNAC LE HAUT;19220;CORREZE
BASSIGNEY;70800;HAUTE SAONE
BASSILAC;24330;DORDOGNE
BASSIN ROND;59111;NORD
BASSING;57260;MOSELLE
BASSOLES AULERS;02380;AISNE
BASSONCOURT;52240;HAUTE MARNE
BASSOU;89400;YONNE
BASSOUES;32320;GERS
BASSU;51300;MARNE
BASSUET;51300;MARNE
BASSURELS;48400;LOZERE
BASSUSSARRY;64200;PYRENEES ATLANTIQUES
BASSY;74910;HAUTE SAVOIE
BASTANES;64190;PYRENEES ATLANTIQUES
BASTELICA;20119;CORSE
BASTELICACCIA;20129;CORSE
BASTENNES;40360;LANDES
BASTIA;20600;CORSE
BASTIA;20200;CORSE
BASTIDONNE;13821;BOUCHES DU RHONE
BASVILLE;23260;CREUSE
BATHELEMONT LES BAUZEMONT;54370;MEURTHE ET MOSELLE
BATHERNAY;26260;DROME
BATILLY;61150;ORNE
BATILLY;54980;MEURTHE ET MOSELLE
BATILLY EN GATINAIS;45340;LOIRET
BATILLY EN PUISSAYE;45420;LOIRET
BATS;40320;LANDES
BATSERE;65130;HAUTES PYRENEES
BATTENANS LES MINES;25640;DOUBS
BATTENANS VARIN;25380;DOUBS
BATTENHEIM;68390;HAUT RHIN
BATTEXEY;88130;VOSGES
BATTIGNY;54115;MEURTHE ET MOSELLE
BATTRANS;70100;HAUTE SAONE
BATZ SUR MER;44740;LOIRE ATLANTIQUE
BATZENDORF;67500;BAS RHIN
BAUBIGNY;21340;COTE D'OR
BAUD;56150;MORBIHAN
BAUDEMENT;51260;MARNE
BAUDEMONT;71800;SAONE ET LOIRE
BAUDIGNAN;40310;LANDES
BAUDIGNECOURT;55130;MEUSE
BAUDINARD SUR VERDON;83630;VAR
BAUDONCOURT;70300;HAUTE SAONE
BAUDONVILLIERS;55170;MEUSE
BAUDRE;50000;MANCHE
BAUDRECOURT;57580;MOSELLE
BAUDRECOURT;52110;HAUTE MARNE
BAUDREIX;64800;PYRENEES ATLANTIQUES
BAUDREMONT;55260;MEUSE
BAUDRES;36110;INDRE
BAUDREVILLE;28310;EURE ET LOIR
BAUDREVILLE;50250;MANCHE
BAUDRICOURT;88500;VOSGES
BAUDRIERES;71370;SAONE ET LOIRE
BAUDUEN;83630;VAR
BAUGE;49150;MAINE ET LOIRE
BAUGY;18800;CHER
BAUGY;71110;SAONE ET LOIRE
BAUGY;60113;OISE
BAUGY;60190;OISE
BAULAY;70160;HAUTE SAONE
BAULE;45130;LOIRET
BAULME LA ROCHE;21410;COTE D'OR
BAULNE;91590;ESSONNE
BAULNE EN BRIE;02330;AISNE
BAULNY;55270;MEUSE
BAULON;35580;ILLE ET VILAINE
BAULOU;09000;ARIEGE
BAUME LES DAMES;25110;DOUBS
BAUME LES MESSIEURS;39570;JURA
BAUME LES MESSIEURS;39210;JURA
BAUNE;49140;MAINE ET LOIRE
BAUPTE;50500;MANCHE
BAUQUAY;14260;CALVADOS
BAURECH;33880;GIRONDE
BAUVIN;59221;NORD
BAUZEMONT;54370;MEURTHE ET MOSELLE
BAUZY;41250;LOIR ET CHER
BAVANS;25550;DOUBS
BAVAY;59570;NORD
BAVELINCOURT;80260;SOMME
BAVENT;14860;CALVADOS
BAVERANS;39100;JURA
BAVILLIERS;90850;TERRITOIRE DE BELFORT
BAVILLIERS;90800;TERRITOIRE DE BELFORT
BAVINCHOVE;59670;NORD
BAVINCOURT;62158;PAS DE CALAIS
BAX;31310;HAUTE GARONNE
BAY;08290;ARDENNES
BAY;70150;HAUTE SAONE
BAY SUR AUBE;52160;HAUTE MARNE
BAYAC;24150;DORDOGNE
BAYARD SUR MARNE;52170;HAUTE MARNE
BAYAS;33230;GIRONDE
BAYE;51270;MARNE
BAYE;29300;FINISTERE
BAYE;58110;NIEVRE
BAYECOURT;88150;VOSGES
BAYEL;10310;AUBE
BAYENCOURT;80560;SOMME
BAYENGHEM LES EPERLECQUES;62910;PAS DE CALAIS
BAYENGHEM LES SENINGHEM;62380;PAS DE CALAIS
BAYERS;16460;CHARENTE
BAYET;03500;ALLIER
BAYEUX;14400;CALVADOS
BAYON;54290;MEURTHE ET MOSELLE
BAYON SUR GIRONDE;33710;GIRONDE
BAYONNE;64100;PYRENEES ATLANTIQUES
BAYONS;04250;ALPES DE HAUTE PROVENCE
BAYONVILLE;08240;ARDENNES
BAYONVILLE SUR MAD;54890;MEURTHE ET MOSELLE
BAYONVILLERS;80170;SOMME
BAZAC;16210;CHARENTE
BAZAIGES;36270;INDRE
BAZAILLES;54620;MEURTHE ET MOSELLE
BAZAINVILLE;78550;YVELINES
BAZANCOURT;51110;MARNE
BAZANCOURT;60380;OISE
BAZARNES;89460;YONNE
BAZAS;33430;GIRONDE
BAZAUGES;17490;CHARENTE MARITIME
BAZEGNEY;88270;VOSGES
BAZEILLES;08140;ARDENNES
BAZEILLES SUR OTHAIN;55600;MEUSE
BAZELAT;23160;CREUSE
BAZEMONT;78580;YVELINES
BAZENS;47130;LOT ET GARONNE
BAZENTIN;80300;SOMME
BAZENVILLE;14480;CALVADOS
BAZET;65460;HAUTES PYRENEES
BAZIAN;32320;GERS
BAZICOURT;60700;OISE
BAZIEGE;31450;HAUTE GARONNE
BAZIEN;88700;VOSGES
BAZILLAC;65140;HAUTES PYRENEES
BAZINCOURT SUR EPTE;27140;EURE
BAZINCOURT SUR SAULX;55170;MEUSE
BAZINGHEN;62250;PAS DE CALAIS
BAZINVAL;76340;SEINE MARITIME
BAZOCHES;58190;NIEVRE
BAZOCHES AU HOULME;61210;ORNE
BAZOCHES EN DUNOIS;28140;EURE ET LOIR
BAZOCHES LES BRAY;77118;SEINE ET MARNE
BAZOCHES LES GALLERANDES;45480;LOIRET
BAZOCHES LES HAUTES;28140;EURE ET LOIR
BAZOCHES SUR GUYONNE;78490;YVELINES
BAZOCHES SUR HOENE;61560;ORNE
BAZOCHES SUR LE BETZ;45210;LOIRET
BAZOCHES SUR VESLES;02220;AISNE
BAZOGES EN PAILLERS;85130;VENDEE
BAZOGES EN PAREDS;85390;VENDEE
BAZOILLES ET MENIL;88500;VOSGES
BAZOILLES SUR MEUSE;88300;VOSGES
BAZOLLES;58110;NIEVRE
BAZONCOURT;57530;MOSELLE
BAZOQUES;27230;EURE
BAZORDAN;65670;HAUTES PYRENEES
BAZOUGERS;53170;MAYENNE
BAZOUGES;53200;MAYENNE
BAZOUGES LA PEROUSE;35560;ILLE ET VILAINE
BAZOUGES SOUS HEDE;35630;ILLE ET VILAINE
BAZOUGES SUR LE LOIR;72200;SARTHE
BAZUEL;59360;NORD
BAZUGUES;32170;GERS
BAZUS;31380;HAUTE GARONNE
BAZUS AURE;65170;HAUTES PYRENEES
BAZUS NESTE;65250;HAUTES PYRENEES
BEALCOURT;80370;SOMME
BEALENCOURT;62770;PAS DE CALAIS
BEARD;58160;NIEVRE
BEAUBEC LA ROSIERE;76440;SEINE MARITIME
BEAUBERY;71220;SAONE ET LOIRE
BEAUBIGNY;50270;MANCHE
BEAUBRAY;27190;EURE
BEAUCAIRE;30300;GARD
BEAUCAIRE;32410;GERS
BEAUCAMPS LE JEUNE;80430;SOMME
BEAUCAMPS LE VIEUX;80430;SOMME
BEAUCAMPS LIGNY;59134;NORD
BEAUCE;35133;ILLE ET VILAINE
BEAUCENS;65400;HAUTES PYRENEES
BEAUCHALOT;31360;HAUTE GARONNE
BEAUCHAMP;95250;VAL D'OISE
BEAUCHAMP SUR HUILLARD;45270;LOIRET
BEAUCHAMPS;50320;MANCHE
BEAUCHAMPS;80770;SOMME
BEAUCHARMOY;52400;HAUTE MARNE
BEAUCHASTEL;07800;ARDECHE
BEAUCHE;28270;EURE ET LOIR
BEAUCHEMIN;52260;HAUTE MARNE
BEAUCHENE;61800;ORNE
BEAUCHENE;41170;LOIR ET CHER
BEAUCHERY ST MARTIN;77560;SEINE ET MARNE
BEAUCLAIR;55700;MEUSE
BEAUCOUDRAY;50420;MANCHE
BEAUCOURT;90500;TERRITOIRE DE BELFORT
BEAUCOURT EN SANTERRE;80110;SOMME
BEAUCOURT SUR L ANCRE;80300;SOMME
BEAUCOURT SUR L HALLUE;80260;SOMME
BEAUCOUZE;49070;MAINE ET LOIRE
BEAUCROISSANT;38140;ISERE
BEAUDEAN;65710;HAUTES PYRENEES
BEAUDEDUIT;60210;OISE
BEAUDIGNIES;59530;NORD
BEAUDRICOURT;62810;PAS DE CALAIS
BEAUFAI;61270;ORNE
BEAUFAY;72110;SARTHE
BEAUFICEL;50150;MANCHE
BEAUFICEL EN LYONS;27480;EURE
BEAUFIN;38970;ISERE
BEAUFONDS;97470;REUNION
BEAUFORT;59330;NORD
BEAUFORT;73270;SAVOIE
BEAUFORT;38270;ISERE
BEAUFORT;39190;JURA
BEAUFORT;31370;HAUTE GARONNE
BEAUFORT;34210;HERAULT
BEAUFORT BLAVINCOURT;62810;PAS DE CALAIS
BEAUFORT EN ARGONNE;55700;MEUSE
BEAUFORT EN SANTERRE;80170;SOMME
BEAUFORT EN VALLEE;49250;MAINE ET LOIRE
BEAUFORT SUR GERVANNE;26400;DROME
BEAUFOU;85170;VENDEE
BEAUFOUR;14340;CALVADOS
BEAUFOUR DRUVAL;14340;CALVADOS
BEAUFREMONT;88300;VOSGES
BEAUGAS;47290;LOT ET GARONNE
BEAUGEAY;17620;CHARENTE MARITIME
BEAUGENCY;45190;LOIRET
BEAUGIES SOUS BOIS;60640;OISE
BEAUGY;58500;NIEVRE
BEAUJEU;69430;RHONE
BEAUJEU;04420;ALPES DE HAUTE PROVENCE
BEAUJEU ST VALLIER PIERRE;70100;HAUTE SAONE
BEAULANDAIS;61140;ORNE
BEAULENCOURT;62450;PAS DE CALAIS
BEAULIEU;07460;ARDECHE
BEAULIEU;08380;ARDENNES
BEAULIEU;38470;ISERE
BEAULIEU;15270;CANTAL
BEAULIEU;21510;COTE D'OR
BEAULIEU;36310;INDRE
BEAULIEU;34160;HERAULT
BEAULIEU;63570;PUY DE DOME
BEAULIEU;61190;ORNE
BEAULIEU;14350;CALVADOS
BEAULIEU;58420;NIEVRE
BEAULIEU EN ARGONNE;55250;MEUSE
BEAULIEU LES FONTAINES;60310;OISE
BEAULIEU LES LOCHES;37600;INDRE ET LOIRE
BEAULIEU SOUS BRESSUIRE;79300;DEUX SEVRES
BEAULIEU SOUS LA ROCHE;85190;VENDEE
BEAULIEU SOUS PARTHENAY;79420;DEUX SEVRES
BEAULIEU SUR DORDOGNE;19120;CORREZE
BEAULIEU SUR LAYON;49750;MAINE ET LOIRE
BEAULIEU SUR LOIRE;45630;LOIRET
BEAULIEU SUR LOIRE;43800;HAUTE LOIRE
BEAULIEU SUR MER;06310;ALPES MARITIMES
BEAULIEU SUR OUDON;53320;MAYENNE
BEAULIEU SUR SONNETTE;16450;CHARENTE
BEAULON;03230;ALLIER
BEAUMAIS;14620;CALVADOS
BEAUMARCHES;32160;GERS
BEAUMAT;46240;LOT
BEAUME;02500;AISNE
BEAUMENIL;88600;VOSGES
BEAUMERIE ST MARTIN;62170;PAS DE CALAIS
BEAUMES DE VENISE;84190;VAUCLUSE
BEAUMESNIL;14380;CALVADOS
BEAUMESNIL;27410;EURE
BEAUMETTES;84220;VAUCLUSE
BEAUMETZ;80370;SOMME
BEAUMETZ LES AIRE;62960;PAS DE CALAIS
BEAUMETZ LES CAMBRAI;62124;PAS DE CALAIS
BEAUMETZ LES LOGES;62123;PAS DE CALAIS
BEAUMONT;89250;YONNE
BEAUMONT;19390;CORREZE
BEAUMONT;24440;DORDOGNE
BEAUMONT;86490;VIENNE
BEAUMONT;43100;HAUTE LOIRE
BEAUMONT;32100;GERS
BEAUMONT;07110;ARDECHE
BEAUMONT;74160;HAUTE SAVOIE
BEAUMONT;54470;MEURTHE ET MOSELLE
BEAUMONT;63110;PUY DE DOME
BEAUMONT DE LOMAGNE;82500;TARN ET GARONNE
BEAUMONT DE PERTUIS;84120;VAUCLUSE
BEAUMONT DU GATINAIS;77890;SEINE ET MARNE
BEAUMONT DU LAC;87120;HAUTE VIENNE
BEAUMONT DU VENTOUX;84340;VAUCLUSE
BEAUMONT EN ARGONNE;08210;ARDENNES
BEAUMONT EN AUGE;14950;CALVADOS
BEAUMONT EN BEINE;02300;AISNE
BEAUMONT EN CAMBRESIS;59540;NORD
BEAUMONT EN DIOIS;26310;DROME
BEAUMONT EN VERON;37420;INDRE ET LOIRE
BEAUMONT HAGUE;50440;MANCHE
BEAUMONT HAMEL;80300;SOMME
BEAUMONT LA FERRIERE;58700;NIEVRE
BEAUMONT LA RONCE;37360;INDRE ET LOIRE
BEAUMONT LE HARENG;76850;SEINE MARITIME
BEAUMONT LE ROGER;27170;EURE
BEAUMONT LES AUTELS;28420;EURE ET LOIR
BEAUMONT LES NONAINS;60390;OISE
BEAUMONT LES RANDAN;63310;PUY DE DOME
BEAUMONT LES VALENCE;26760;DROME
BEAUMONT MONTEUX;26600;DROME
BEAUMONT PIED DE BOEUF;53290;MAYENNE
BEAUMONT PIED DE BOEUF;72500;SARTHE
BEAUMONT SARDOLLES;58270;NIEVRE
BEAUMONT SUR DEME;72340;SARTHE
BEAUMONT SUR GROSNE;71240;SAONE ET LOIRE
BEAUMONT SUR LEZE;31870;HAUTE GARONNE
BEAUMONT SUR OISE;95260;VAL D'OISE
BEAUMONT SUR SARTHE;72170;SARTHE
BEAUMONT SUR VESLE;51360;MARNE
BEAUMONT SUR VINGEANNE;21310;COTE D'OR
BEAUMONT VILLAGE;37460;INDRE ET LOIRE
BEAUMONTEL;27170;EURE
BEAUMOTTE AUBERTANS;70190;HAUTE SAONE
BEAUMOTTE LES PIN;70150;HAUTE SAONE
BEAUNAY;51270;MARNE
BEAUNE;73140;SAVOIE
BEAUNE;21200;COTE D'OR
BEAUNE D ALLIER;03390;ALLIER
BEAUNE LA ROLANDE;45340;LOIRET
BEAUNE LES MINES;87280;HAUTE VIENNE
BEAUNE SUR ARZON;43500;HAUTE LOIRE
BEAUNOTTE;21510;COTE D'OR
BEAUPONT;01270;AIN
BEAUPOUYET;24400;DORDOGNE
BEAUPREAU;49600;MAINE ET LOIRE
BEAUPUY;47200;LOT ET GARONNE
BEAUPUY;31850;HAUTE GARONNE
BEAUPUY;82600;TARN ET GARONNE
BEAUPUY;32600;GERS
BEAUQUESNE;80600;SOMME
BEAURAIN;59730;NORD
BEAURAINS;62217;PAS DE CALAIS
BEAURAINS LES NOYON;60400;OISE
BEAURAINVILLE;62990;PAS DE CALAIS
BEAURECUEIL;13100;BOUCHES DU RHONE
BEAUREGARD;01480;AIN
BEAUREGARD;46260;LOT
BEAUREGARD BARET;26300;DROME
BEAUREGARD DE TERRASSON;24120;DORDOGNE
BEAUREGARD ET BASSAC;24140;DORDOGNE
BEAUREGARD L EVEQUE;63116;PUY DE DOME
BEAUREGARD VENDON;63460;PUY DE DOME
BEAUREPAIRE;76280;SEINE MARITIME
BEAUREPAIRE;38270;ISERE
BEAUREPAIRE;85500;VENDEE
BEAUREPAIRE;60700;OISE
BEAUREPAIRE EN BRESSE;71580;SAONE ET LOIRE
BEAUREPAIRE SUR SAMBRE;59550;NORD
BEAUREVOIR;02110;AISNE
BEAURIERES;26310;DROME
BEAURIEUX;02160;AISNE
BEAURIEUX;59740;NORD
BEAURONNE;24400;DORDOGNE
BEAUSEMBLANT;26240;DROME
BEAUSITE;55250;MEUSE
BEAUSOLEIL;06240;ALPES MARITIMES
BEAUSSAC;24340;DORDOGNE
BEAUSSAIS;79370;DEUX SEVRES
BEAUSSAULT;76870;SEINE MARITIME
BEAUSSE;49410;MAINE ET LOIRE
BEAUTEVILLE;31290;HAUTE GARONNE
BEAUTHEIL;77120;SEINE ET MARNE
BEAUTIRAN;33640;GIRONDE
BEAUTOR;02800;AISNE
BEAUTOT;76890;SEINE MARITIME
BEAUTOUR;44120;LOIRE ATLANTIQUE
BEAUVAIN;61600;ORNE
BEAUVAIS;60155;OISE
BEAUVAIS;60000;OISE
BEAUVAIS SUR MATHA;17490;CHARENTE MARITIME
BEAUVAIS SUR TESCOU;81630;TARN
BEAUVAL;80630;SOMME
BEAUVAL EN CAUX;76890;SEINE MARITIME
BEAUVALLON;26800;DROME
BEAUVAU;49140;MAINE ET LOIRE
BEAUVENE;07190;ARDECHE
BEAUVERNOIS;71270;SAONE ET LOIRE
BEAUVEZER;04370;ALPES DE HAUTE PROVENCE
BEAUVILLE;47470;LOT ET GARONNE
BEAUVILLE;31460;HAUTE GARONNE
BEAUVILLIERS;89630;YONNE
BEAUVILLIERS;41290;LOIR ET CHER
BEAUVILLIERS;28150;EURE ET LOIR
BEAUVOIR;77390;SEINE ET MARNE
BEAUVOIR;60120;OISE
BEAUVOIR;89240;YONNE
BEAUVOIR;50170;MANCHE
BEAUVOIR DE MARC;38440;ISERE
BEAUVOIR EN LYONS;76220;SEINE MARITIME
BEAUVOIR EN ROYANS;38160;ISERE
BEAUVOIR SUR MER;85230;VENDEE
BEAUVOIR SUR NIORT;79360;DEUX SEVRES
BEAUVOIR SUR SARCE;10340;AUBE
BEAUVOIR WAVANS;62390;PAS DE CALAIS
BEAUVOIS;62130;PAS DE CALAIS
BEAUVOIS EN CAMBRESIS;59157;NORD
BEAUVOIS EN VERMANDOIS;02590;AISNE
BEAUVOISIN;30640;GARD
BEAUVOISIN;26170;DROME
BEAUVOISIN;39120;JURA
BEAUX;43200;HAUTE LOIRE
BEAUZAC;43590;HAUTE LOIRE
BEAUZELLE;31700;HAUTE GARONNE
BEAUZIAC;47700;LOT ET GARONNE
BEBING;57830;MOSELLE
BEBLENHEIM;68980;HAUT RHIN
BEC DE MORTAGNE;76110;SEINE MARITIME
BECCAS;32730;GERS
BECELEUF;79160;DEUX SEVRES
BECHAMPS;54800;MEURTHE ET MOSELLE
BECHEREL;35190;ILLE ET VILAINE
BECHERESSE;16250;CHARENTE
BECHY;57580;MOSELLE
BECON LES GRANITS;49370;MAINE ET LOIRE
BECONNE;26770;DROME
BECORDEL BECOURT;80300;SOMME
BECOURT;62240;PAS DE CALAIS
BECQUIGNY;02110;AISNE
BECQUIGNY;80500;SOMME
BEDARIEUX;34600;HERAULT
BEDARRIDES;84370;VAUCLUSE
BEDDES;18370;CHER
BEDECHAN;32450;GERS
BEDEE;35137;ILLE ET VILAINE
BEDEILHAC ET AYNAT;09400;ARIEGE
BEDEILLE;64460;PYRENEES ATLANTIQUES
BEDEILLE;09230;ARIEGE
BEDENAC;17210;CHARENTE MARITIME
BEDOIN;84410;VAUCLUSE
BEDOUES;48400;LOZERE
BEDOUS;64490;PYRENEES ATLANTIQUES
BEDUER;46100;LOT
BEFFES;18320;CHER
BEFFIA;39270;JURA
BEFU ET LE MORTHOMME;08250;ARDENNES
BEG LEGUER SERVEL;22300;COTES D'ARMOR
BEGAAR;40400;LANDES
BEGADAN;33340;GIRONDE
BEGANNE;56350;MORBIHAN
BEGARD;22140;COTES D'ARMOR
BEGLES;33130;GIRONDE
BEGMEIL;29170;FINISTERE
BEGNECOURT;88270;VOSGES
BEGOLE;65190;HAUTES PYRENEES
BEGROLLES EN MAUGES;49122;MAINE ET LOIRE
BEGUES;03800;ALLIER
BEGUEY;33410;GIRONDE
BEGUIOS;64120;PYRENEES ATLANTIQUES
BEHAGNIES;62121;PAS DE CALAIS
BEHASQUE LAPISTE;64120;PYRENEES ATLANTIQUES
BEHEN;80870;SOMME
BEHENCOURT;80260;SOMME
BEHERICOURT;60400;OISE
BEHLENHEIM;67370;BAS RHIN
BEHOBIE;64700;PYRENEES ATLANTIQUES
BEHONNE;55000;MEUSE
BEHORLEGUY;64220;PYRENEES ATLANTIQUES
BEHOUST;78910;YVELINES
BEHREN LES FORBACH;57460;MOSELLE
BEHUARD;49170;MAINE ET LOIRE
BEIGNON;56380;MORBIHAN
BEILLE;72160;SARTHE
BEINE;89800;YONNE
BEINE NAUROY;51490;MARNE
BEINHEIM;67930;BAS RHIN
BEIRE LE CHATEL;21310;COTE D'OR
BEIRE LE FORT;21110;COTE D'OR
BEISSAT;23260;CREUSE
BEL AIR;49520;MAINE ET LOIRE
BELABRE;36370;INDRE
BELAN SUR OURCE;21570;COTE D'OR
BELARGA;34230;HERAULT
BELAYE;46140;LOT
BELBERAUD;31450;HAUTE GARONNE
BELBESE;82500;TARN ET GARONNE
BELBEUF;76240;SEINE MARITIME
BELBEZE DE LAURAGAIS;31450;HAUTE GARONNE
BELBEZE EN COMMINGES;31260;HAUTE GARONNE
BELCAIRE;11340;AUDE
BELCASTEL;12390;AVEYRON
BELCASTEL;81500;TARN
BELCASTEL ET BUC;11580;AUDE
BELCODENE;13720;BOUCHES DU RHONE
BELEP;98811;
BELESTA;66720;PYRENEES ORIENTALES
BELESTA;09300;ARIEGE
BELESTA EN LAURAGAIS;31540;HAUTE GARONNE
BELEYMAS;24140;DORDOGNE
BELFAHY;70290;HAUTE SAONE
BELFAYS;25470;DOUBS
BELFLOU;11410;AUDE
BELFONDS;61500;ORNE
BELFORT;90000;TERRITOIRE DE BELFORT
BELFORT DU QUERCY;46230;LOT
BELFORT SUR REBENTY;11140;AUDE
BELGEARD;53440;MAYENNE
BELGENTIER;83210;VAR
BELGODERE;20226;CORSE
BELHADE;40410;LANDES
BELHOMERT GUEHOUVILLE;28240;EURE ET LOIR
BELIET;33830;GIRONDE
BELIGNEUX;01360;AIN
BELIN BELIET;33830;GIRONDE
BELIS;40120;LANDES
BELLAC;87300;HAUTE VIENNE
BELLAFFAIRE;04250;ALPES DE HAUTE PROVENCE
BELLAING;59135;NORD
BELLANCOURT;80132;SOMME
